X;Y;FID;FID_1;LABELID;POINT_X;POINT_Y;FID_2;COMUNAREAL;VAL_COM;OBJECTID;A_O;IDACCIDENT;REGION;COD_COMUN;COMUNA;CALLE_UNO;CALLE_DOS;NUMERO;DIR_GEOCOD;PAIS;TIPO;OBJECTID_1;Año;Idaccide_1;Claseaccid;Fecha;Hora;Cód_Regi;Región;Cód_Comun;Comuna_1;Cód_Tipo_;Tipo_Accid;Cód_Tipo1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa__CON;Cód_Cau_1;Causa;Cód_Calle;Calle_Un_1;Cód_Cal_1;Calle_Do_1;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Km_Vía_Fe;Pistas_de_;Pistas_de1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos
-7,80703E+13;-2,30302E+14;1519;14664;1389793;-701317028;-202529289;258;IQUIQUE;1;45662;2021;1389793;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE;MANUEL JESUS SILVA;0;SALVADOR ALLENDE & MANUEL JESUS SILVA, IQUIQUE;CHILE;GEOMETRIC_CENTER;62394;2021;1389793;1;20-10-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;65;CHOQUE LADO/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0;MANUEL JESUS SILVA;MANUEL JESUS SILVA - SALVADOR ALLENDE;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80666E+14;-2,303E+14;1520;14666;1396188;-701284514;-202527979;258;IQUIQUE;1;50962;2021;1396188;REGION TARAPACA;1101;IQUIQUE;RAMON PEREZ OPAZO;CERRO DRAGON;0;RAMON PEREZ OPAZO & CERRO DRAGON, IQUIQUE;CHILE;GEOMETRIC_CENTER;69363;2021;1396188;1;16-11-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;31;COLISION FRONTAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;RAMON PEREZ OPAZO;0;CERRO DRAGON;CERRO DRAGON - RAMON PEREZ OPAZO;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1
-7,80619E+14;-2,30297E+14;1521;14667;1331051;-701242185;-202525543;258;IQUIQUE;1;5427;2021;1331051;REGION TARAPACA;1101;IQUIQUE;MATILLA;EL CARMELO;0;MATILLA & EL CARMELO, IQUIQUE;CHILE;GEOMETRIC_CENTER;7582;2021;1331051;1;08-02-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;68;CHOQUE POSTERIOR/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;1;IMPRUDENCIA DEL CONDUCTOR;28;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;0;MATILLA;0;EL CARMELO;EL CARMELO - MATILLA;0; ; ;; ;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;1
-7,80657E+14;-2,30295E+14;1522;14668;1406924;-701275678;-202523713;258;IQUIQUE;1;58046;2021;1406924;REGION TARAPACA;1101;IQUIQUE;RAMON PEREZ OPZO;PLAYA QUINTEROS;0;RAMON PEREZ OPZO & PLAYA QUINTEROS, IQUIQUE;CHILE;GEOMETRIC_CENTER;78821;2021;1406924;1;22-12-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;13;CAUSAS NO DETERMINADAS;97;CAUSAS NO DETERMINADAS;0;RAMON PEREZ OPZO;0;PLAYA QUINTEROS;PLAYA QUINTEROS - RAMON PEREZ OPZO;0; ; ;; ;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,8062E+14;-2,30295E+14;1523;14669;1330897;-7012428;-2025234;258;IQUIQUE;1;2822;2021;1330897;REGION TARAPACA;1101;IQUIQUE;MATILLA; ;3463;MATILLA 3463, IQUIQUE;CHILE;RANGE_INTERPOLATED;3874;2021;1330897;1;19-01-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;MATILLA;0; ;- MATILLA;3463; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80724E+14;-2,30291E+14;1524;14670;1330585;-701336539;-202520603;258;IQUIQUE;1;5071;2021;1330585;REGION TARAPACA;1101;IQUIQUE;PLAYA EL AGUILA;FRANCISCO VERGARA;0;PLAYA EL AGUILA & FRANCISCO VERGARA, IQUIQUE;CHILE;GEOMETRIC_CENTER;7093;2021;1330585;1;05-02-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PLAYA EL AGUILA;0;FRANCISCO VERGARA;FRANCISCO VERGARA - PLAYA EL AGUILA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80724E+14;-2,30291E+14;1525;14671;1377248;-701336539;-202520603;258;IQUIQUE;1;36533;2021;1377248;REGION TARAPACA;1101;IQUIQUE;FRANCISCO VERGARA;PLAYA EL AGUILA;0;FRANCISCO VERGARA & PLAYA EL AGUILA, IQUIQUE;CHILE;GEOMETRIC_CENTER;50264;2021;1377248;1;01-09-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;31;COLISION FRONTAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;FRANCISCO VERGARA;0;PLAYA EL AGUILA;FRANCISCO VERGARA - PLAYA EL AGUILA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80647E+14;-2,30291E+14;1526;14672;1377156;-701267483;-202520595;258;IQUIQUE;1;28213;2021;1377156;REGION TARAPACA;1101;IQUIQUE;LA TIRANA;RAMON PEREZ OPAZO;0;LA TIRANA & RAMON PEREZ OPAZO, IQUIQUE;CHILE;GEOMETRIC_CENTER;38973;2021;1377156;1;15-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;LA TIRANA;0;RAMON PEREZ OPAZO;LA TIRANA - RAMON PEREZ OPAZO;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80647E+14;-2,30291E+14;1527;14673;1375859;-701267483;-202520595;258;IQUIQUE;1;28214;2021;1375859;REGION TARAPACA;1101;IQUIQUE;LA TIRANA;RAMON PEREZ OPAZO;0;LA TIRANA & RAMON PEREZ OPAZO, IQUIQUE;CHILE;GEOMETRIC_CENTER;38974;2021;1375859;1;15-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;11;CRUCE CON SEMAFORO FUNCIONANDO;10;DESOBEDIENCIA A SEÑALIZACION;62;SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO;0;LA TIRANA;0;RAMON PEREZ OPAZO;LA TIRANA - RAMON PEREZ OPAZO;0; ; ;; ;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80719E+14;-2,30289E+14;1528;14674;1351019;-70133163;-20251892;258;IQUIQUE;1;19551;2021;1351019;REGION TARAPACA;1101;IQUIQUE;PLAYA EL AGUILA;LEONOR SOLAR;0;PLAYA EL AGUILA & LEONOR SOLAR, IQUIQUE;CHILE;GEOMETRIC_CENTER;26924;2021;1351019;1;23-05-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PLAYA EL AGUILA;0;LEONOR SOLAR;LEONOR SOLAR - PLAYA EL AGUILA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
