X;Y;FID;POINT_X;POINT_Y;Idaccident;Año;Claseaccid;Fecha;Cód_Regi;Región;Cód_Comun;Comuna;Cód_Tipo;Tipo_Accid;Cód_Tip_1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa;Cód_Cau_1;Causa__CON;Cód_Calle;Calle_Uno;Cód_Cal_1;Calle_Dos;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Pistas_de;Pistas_d_1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos;Hora
-7,80787E+14;-2,299E+14;719;-7013933;-20219072;1461869;2022;1;23-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;69;CHOQUE POSTERIOR/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;24;CONDUCCION EN ESTADO DE EBRIEDAD;4;ALCOHOL EN CONDUCTOR;0;HEROES DE LA CONCEPCION;0;BERNARDO O'HIGGINS;BERNARDO O'HIGGINS - HEROES DE LA CONCEPCION;0;0;0;0;2;1;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;2;NUBLADO;0;0;0;2;0;3:30:00
-7,80675E+14;-2,29797E+13;720;-7012919;-2021039;1461890;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;10;ATROPELLO;10;ATROPELLO;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;CIRCUNVALACION;0;0;- CIRCUNVALACION;9;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;2;NUBLADO;0;1;0;0;1;22:00:00
-7,8087E+13;-2,29906E+14;721;-70146719;-20219552;1461922;2022;1;24-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;34;COLISION PERPENDICULAR;30;COLISION;1;URBANA;14;CRUCE CON SEÑAL PARE;65;SEÑALIZACION DESOBEDECER SEÑAL PARE;10;DESOBEDIENCIA A SEÑALIZACION;0;MANUEL BULNES;0;AMUNATEGUI;AMUNATEGUI - MANUEL BULNES;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;3;0;9:30:00
-7,80323E+13;-2,30785E+14;722;-7009757;-20293676;1462029;2022;1;20-07-2022 20:00;1;REGION TARAPACA;1107;ALTO HOSPICIO;10;ATROPELLO;10;ATROPELLO;1;URBANA;26;OTROS NO CONSIDERADOS;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;UNION EUROPEA;0;JAPON;JAPON - UNION EUROPEA;0;0;0;0;2;0;1;UNIDIRECCIONAL;6;TIERRA;2;REGULAR;0;0;1;DESPEJADO;0;1;0;0;1;17:00:00
-7,80202E+13;-2,30654E+13;723;-70086762;-20282618;1462040;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1107;ALTO HOSPICIO;50;CHOQUE;40;CHOQUE;1;URBANA;11;CRUCE CON SEMAFORO FUNCIONANDO;93;CONDUCIR VEHICULO EN RETROCESO;1;IMPRUDENCIA DEL CONDUCTOR;0;LAS PARCELAS;0;RICARDO LAGOS;LAS PARCELAS - RICARDO LAGOS;0;0;0;0;2;0;1;UNIDIRECCIONAL;1;CONCRETO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;14:30:00
-7,80825E+14;-2,30126E+14;724;-70142722;-20238087;1462336;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;69;CHOQUE POSTERIOR/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;98;OTRAS CAUSAS;14;OTRAS CAUSAS;0;LUIS EMILIO RECABARREN;0;0;- LUIS EMILIO RECABARREN;2799;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;4:00:00
-7,80829E+14;-2,29966E+14;725;-70143066;-20224584;1462385;2022;1;25-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;CESPEDES Y GONZALEZ;0;0;- CESPEDES Y GONZALEZ;1220;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;1;12:45:00
-7,80759E+14;-2,30202E+14;726;-70136766;-20244502;1462425;2022;1;24-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;66;CHOQUE LADO/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;SANTA ROSA;0;0;- SANTA ROSA;2968;0;0;0;1;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;7:48:00
-7,80743E+14;-2,29913E+14;727;-70135345;-20220154;1462478;2022;1;25-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;11;CRUCE CON SEMAFORO FUNCIONANDO;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;MANUEL BULNES;0;SALVADOR ALLENDE;MANUEL BULNES - SALVADOR ALLENDE;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;18:45:00
-7,80747E+14;-2,30199E+14;728;-70135734;-2024426;1462600;2022;1;24-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;33;COLISION POR ALCANCE;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;JOSE FRANCISCO VERGARA;0;SAGASCA;JOSE FRANCISCO VERGARA - SAGASCA;0;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;4;8:00:00
-7,80943E+14;-2,29828E+14;729;-7015334;-2021299;1462634;2022;1;25-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;64;CHOQUE LADO/FRENTE;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;93;CONDUCIR VEHICULO EN RETROCESO;1;IMPRUDENCIA DEL CONDUCTOR;0;SERRANO;0;0;- SERRANO;142;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;11:15:00
-7,80819E+14;-2,30186E+13;730;-70142165;-20243157;1434988;2022;1;08-04-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;ARTURO PRAT;0;GENARO GALLO;ARTURO PRAT - GENARO GALLO;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;20:30:00
-7,80785E+14;-2,29867E+14;731;-70139136;-20216321;1462672;2022;1;25-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;10;ATROPELLO;10;ATROPELLO;1;URBANA;11;CRUCE CON SEMAFORO FUNCIONANDO;24;CONDUCCION EN ESTADO DE EBRIEDAD;4;ALCOHOL EN CONDUCTOR;0;HEROES DE LA CONCEPCION;0;SARGENTO ALDEA;HEROES DE LA CONCEPCION - SARGENTO ALDEA;0;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;1;0;0;1;15:40:00
