Direccion,LATITUD,LONGITUD
"ALTO HOSPICIO, AVDA. LOS ALAMSO CON AVDA. CIRCUNVALACION, AVDA. CIRCUNVALACION CON AVDA. LOS ALAMOS",-20.2722788,-70.1097974
"IQUIQUE, SALITRERA VICTORIA, MAPOCHO",-20.2049542,-70.1369169
"IQUIQUE, BULNES, AMUNÁTEGUI",-20.2195518,-70.1467191
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, CHINTAGUAY, AVDA. PEDRO PRADO",-20.226475,-70.1352834
POZO ALMONTE,-20.2570503,-69.7857064
"POZO ALMONTE, BALMACEDA, 250.0",-20.2601124,-69.7865351
"POZO ALMONTE, SANFUENTES, 700.0",-20.2570503,-69.7857064
"ALTO HOSPICIO, CIRCUNVALACION, LOS GUINDALES, 3290.0",-20.2652492,-70.1055102
"IQUIQUE, 21 DE MAYO, ORELLA",-20.2208923,-70.1421601
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, CESPEDES Y GONZÁLEZ, GENARO GALLO",-20.2249004,-70.1370717
"IQUIQUE, ESMERALDA, AMUNATEGUI",-20.2176315,-70.1465983
"IQUIQUE, AVDA. PRAT, JOSÉ MIGUEL CARRERA",-20.2266274,-70.1421023
"IQUIQUE, 12 DE FEBRERO, TARAPACA",-20.2198336,-70.1414293
"ALTO HOSPICIO, HUNATAJAYA CON LOS MANZANOS, 2590.0",-20.2666108,-70.1006294
"IQUIQUE, AVDA. ARTURO PRAT, 2330.0",-20.2484469,-70.1381101
"ALTO HOSPICIO, SALITRERA IRIS, CERRO  ESMERALDA, 3290.0",-20.2721122,-70.1000249
"ALTO HOSPICIO, LAS AMERICAS, SANTA MARIA, 3490.0",-20.2847174,-70.1022289
"IQUIQUE, BULNES, JUAN MARTINEZ",-20.219616,-70.1454426
"IQUIQUE, AV. CAMPOS DE DEPORTE, BOMBERO JUAN GIRAO",-20.2254732,-70.1318466
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, BARROS ARANA, SAN MARTIN",-20.2127018,-70.1471204
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, AV. SANTIAGO POLANCO, AV. PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, AV. PEDRO PRADO, OHIGGINS",-20.2193218,-70.1347013
"IQUIQUE, AV. PRAT, AV. PLAYA BRAVA",-20.244478,-70.1410328
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, AV. PRAT, AV. HEROES DE LA CONCEPCION",-20.2409532,-70.1449725
IQUIQUE,-20.2307033,-70.1356692
"IQUIQUE, AV. LA TIRANA, AV. LA TIRANA",-20.2543166,-70.1260602
PICA,,
"IQUIQUE, OHIGGINS, AV. HEROES DE LA CONCEPCION",-20.2190716,-70.1393305
PICA,,
ALTO HOSPICIO,-20.2686722,-70.1049169
"ALTO HOSPICIO, LOS ALOMSO CON LOS ALMENDROS, 2790.0",-20.2556598,-70.1069637
"IQUIQUE, PEDRO GAMBONI, AV. PEDRO PRADO",-20.2364664,-70.1360525
"POZO ALMONTE, ESTACION, 5.0",-20.2570503,-69.7857064
"IQUIQUE, ZEGERS, JUAN MARTINESZ",-20.217696,-70.1452689
"IQUIQUE, AV. SANTIAGO POLANCO, AV. ARTURO PRAT",-20.2486089,-70.1382111
"IQUIQUE, LOS ALGARROBOS, 3238.0",-20.2579013,-70.1242713
HUARA,-19.995924,-69.7712417
HUARA,-19.995924,-69.7712417
"IQUIQUE, TUCAPEL, 2446.0",-20.2402524,-70.133268
"IQUIQUE, AV. PEDRO PRADO, BULNES",-20.2201814,-70.1349026
"ALTO HOSPICIO, SANTA MARIA, AV. LAS AMERICAS, 3490.0",-20.2847174,-70.1022289
"ALTO HOSPICIO, LORETO PINEDA, 3007.0",-20.2833517,-70.1036934
CAMINA,-19.3110655,-69.4269996
"ALTO HOSPICIO, JERUSALEM, 3954.0",-20.2686722,-70.1049169
