Direccion,Latitud,Longitud
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"IQUIQUE, Avenida La Tirana RUTA A-16",-20.2543166,-70.1260602
"IQUIQUE, Avenida Circunvalación MAPACHO",-20.2186091,-70.1356109
"IQUIQUE, 12 DE FEBRERO, SERRANO",-20.2307033,-70.1356692
"IQUIQUE, MANUEL CASTRO RAMOS, Avenida La Tirana",-20.2444412,-70.1282904
"ALTO HOSPICIO, Avenida Las Americas 3458",-20.2844778,-70.1018567
"ALTO HOSPICIO, Avenida Las Americas",-20.2891995,-70.1038837
"IQUIQUE, RANCAGUA, MAULE",-20.2379358,-70.1322064
"IQUIQUE, Arturo Fernández, 1373",-20.2214059,-70.1445723
"IQUIQUE, PATRICIO LYNCH, SOTOMAYOR",-20.2154369,-70.1513951
"ALTO HOSPICIO, VERTEDERO MUNICIPAL, 1",-20.2686722,-70.1049169
"IQUIQUE, 18 DE SEPTIEMBRE, SARGENTO ALDEA",-20.2161654,-70.142953
"IQUIQUE, AMUNATEGUI, SARGENTO ALDEA",-20.2160359,-70.1465023
"IQUIQUE, 18 DE SEPTIEMBRE, SAN MARTIN",-20.2307033,-70.1356692
"IQUIQUE, BARROS ARANA, OSCAR TOMAS BONILLA",-20.2276758,-70.1407143
"IQUIQUE, Avenida PEDRO PRADO, JOSE MIGUEL CARRERA",-20.2269962,-70.1354064
"IQUIQUE, vivar, 458",-20.2131898,-70.1484076
"IQUIQUE, PORVENIR, Avenida Circunvalación",-20.2063726,-70.1306179
"IQUIQUE, CAMPO DE DEPORTE, MARGARITA NARANJO",-20.225863,-70.1315828
"IQUIQUE, SOTOMAYOR, PATRICIO LYNCH",-20.2109436,-70.151012
"IQUIQUE, CASTRO RAMOS, Avenida Cerro Dragón",-20.2443662,-70.129305
"ALTO HOSPICIO, Avenida Circunvalación 3479",-20.2793907,-70.1066175
"IQUIQUE, Avenida PADRE HURTADO, Avenida Arturo Prat",-20.2625059,-70.130789
"ALTO HOSPICIO, Circunvalación CON SAN DONATO, 2990",-20.2796397,-70.1056167
"IQUIQUE, CESPEDES GONZALEZ, JUAN MARTINEZ",-20.2244564,-70.145933
"IQUIQUE, ESTACIONAMIENTO SUPER, LIDER IQUIQUE, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"IQUIQUE, Avenida Arturo Prat VIVAR",-20.244478,-70.1410328
"IQUIQUE, VIVAR, ESMERALDA",-20.2115901,-70.1484112
"IQUIQUE, AMUNATEGUI, LATORRE",-20.2168169,-70.1465983
"IQUIQUE, Avenida La Tirana CALLE TRES",-20.2561589,-70.1256228
"IQUIQUE, JUAN MARTINEZ, JOSE JOAQUIN PEREZ",-20.2225558,-70.1457281
"IQUIQUE, TARAPACA, BARROS ARANA",-20.2175833,-70.1474318
"IQUIQUE, SGTO. ALSEA, AMUNATEGUI",-20.2176315,-70.1465983
"IQUIQUE, Avenida Arturo Prat GOROSTIAGA",-20.2141572,-70.1548644
"IQUIQUE, RAMIREZ, LATORRE",-20.2160808,-70.1493656
"IQUIQUE, Avenida Circunvalación Rotonda EL PAMPINO",-20.2208561,-70.1319844
"IQUIQUE, Avenida Salvador Allende Avenida Cerro Dragón",-20.2455517,-70.129365
"IQUIQUE, HERNAN FUENZALIDA, Avenida Salvador Allende",-20.2290311,-70.135502
"IQUIQUE, OBISPO LABBE, SIMON BOLIVAR",-20.2122091,-70.1502238
"IQUIQUE, MANUEL CASTRO RAMOS, Cerro Dragón",-20.2443662,-70.129305
"IQUIQUE, TOMAS BONILLA, COLO-COLO",-20.2278346,-70.136846
"POZO ALMONTE, comercio con estacion, 0",-20.2570503,-69.7857064
"IQUIQUE, GENARO GALLO, Manuel Bulnes",-20.2201278,-70.1361812
"IQUIQUE, Avenida PRAT, PLAYA BRAVA",-20.2414367,-70.1342598
"IQUIQUE, PASAJE NRO. 05, INTERIOR TERMINAL AGOPECUARIO",-20.2307033,-70.1356692
"ALTO HOSPICIO, Avenida PAMPA PERDIZ ESQUINA LOS NOGALES, 2590",-20.2708507,-70.0986937
"IQUIQUE, PEDRO PRADO, MANUEL RODRIGUEZ",-20.2239461,-70.1351704
"POZO ALMONTE, 21 DE MAYO CON PAMPA GERMANIA, 0",-20.2613588,-69.7846368
"IQUIQUE, Avenida Arturo Prat Salitrera VICTORIA",-20.2048548,-70.1419282
"IQUIQUE, VIVAR, OHIGGINS",-20.218536,-70.1488892
"IQUIQUE, ORELLA, ARTURO FERNANDEZ",-20.2207652,-70.1443587
"IQUIQUE, ESTACIONAMIENTOS, MALL ZOFRI",-20.2319612,-70.1421087
"IQUIQUE, LATORRE, 21 DE MAYO",-20.2170705,-70.1435776
"IQUIQUE, Avenida PLAYA BRAVA, SANTIAGO POLANCO",-20.2478923,-70.1368759
"IQUIQUE, Avenida PEDRO PRADO, ELIAS LAFFERTE",-20.2225972,-70.1350708
"IQUIQUE, Avenida PEDRO PRADO, Avenida CHIPANA",-20.2396655,-70.1345536
"IQUIQUE, COLON, INTERIOR RECINTOS AMURALLADOS",-20.2307033,-70.1356692
"IQUIQUE, Avenida La Tirana CASTRO RAMOS",-20.2444412,-70.1282904
"ALTO HOSPICIO, Avenida Los Alamos CON TILIVICHI, 2790",-20.269035,-70.1092389
"IQUIQUE, Avenida P. PRADO, MANUEL CASTRO RAMOS",-20.244863,-70.1334046
"IQUIQUE, JUAN MARTINEZ, LATORRE",-20.2169534,-70.1451921
"ALTO HOSPICIO, Avenida LOS ARMOS CON SANTA MARTA, 3690",-20.2686722,-70.1049169
"IQUIQUE, FRANCISCO VERGARA, ANKIEL NIELSEN",-20.2487975,-70.1346724
"IQUIQUE, AMUNATEGUI, RIQUELME",-20.2216013,-70.146812
"ALTO HOSPICIO, Avenida LOS AROMOS X LOS DALITES, 2190",-20.2621685,-70.1042093
"IQUIQUE, PRESIDENTE ERRAZURIZ, 1366",-20.2212795,-70.1438041
"IQUIQUE, Avenida La Tirana CALLE CUATRO",-20.2543166,-70.1260602
"IQUIQUE, 18 DE SEPTIEMBRE, LIBERTAD",-20.2307033,-70.1356692
"IQUIQUE, Avenida PRAT, Avenida AEROPUERTO",-20.2414367,-70.1342598
"IQUIQUE, Avenida HEROES Heroes de la Concepcion DIEGO PORTALES",-20.2414367,-70.1342598
"IQUIQUE, DIAGONAL FRANCISCO BILBAO, 4150",-20.267364,-70.1254558
"IQUIQUE, ZEGERS, BARROSARANA",-20.2175833,-70.1474318
"IQUIQUE, LOS MOREÑOS, 2630",-20.2348134,-70.1313362
"IQUIQUE, ESMERALDA, AMUNATEGUI",-20.2176315,-70.1465983
"ALTO HOSPICIO, Calle 9 CON PASAJE 31, 31",-20.2686722,-70.1049169
"IQUIQUE, HAMBURGO, HONG-KONG",-20.207074,-70.1312176
"ALTO HOSPICIO, Ramon Perez Opazo 2755",-20.2740456,-70.1008643
"IQUIQUE, PLAYA BRAVA, PEDRO GONZALEZ",-20.2427402,-70.1399698
"ALTO HOSPICIO, LOS AROMOS, 3970",-20.2559988,-70.1060403
"ALTO HOSPICIO, MANZANA 31, 31",-20.2686722,-70.1049169
"IQUIQUE, Avenida PEDRO PRADO, SANTIAGO POLANCO",-20.2468369,-70.1329274
"IQUIQUE, ARTURO FERNANDEZ, SGTO. ALDEA",-20.2161264,-70.1441618
"IQUIQUE, Manuel Bulnes ARTURO FERNANDEZ",-20.2196748,-70.1443406
"ALTO HOSPICIO, RICARDO LAGOS CON LOS AROMOS, 3990",-20.2686722,-70.1049169
"IQUIQUE, Avenida H. Heroes de la Concepcion TOMAS BONILLA",-20.2414367,-70.1342598
"IQUIQUE, Avenida PEDRO PRADO, SANTIAGO POLANCO",-20.2468369,-70.1329274
"IQUIQUE, ORELLA, AMUNATEGUI",-20.2206303,-70.146763
"IQUIQUE, LATORRE, 18 DE SEPTIEMBRE",-20.2171182,-70.1429854
"ALTO HOSPICIO, Avenida Las Americas CON CALLE ITALIA, 3590",-20.2936655,-70.1055504
"IQUIQUE, HECTOR DAVILA, 2807",-20.2351957,-70.135679
"IQUIQUE, Avenida H. Heroes de la Concepcion RIQUELME",-20.2414367,-70.1342598
"IQUIQUE, Avenida La Tirana Avenida fco. bilbao",-20.2691828,-70.1257417
"IQUIQUE, Avenida Arturo Prat AMUNATEGUI",-20.2067534,-70.1452669
"IQUIQUE, ORELLA, PATRICIO LYNCH",-20.2203193,-70.1515539
"IQUIQUE, CASTRO RAMOS, Avenida La Tirana",-20.2444412,-70.1282904
"ALTO HOSPICIO, Circunvalación 3250",-20.2686722,-70.1049169
"IQUIQUE, CESPEDES GONZALEZ, ARTURO FERNANDEZ",-20.2245126,-70.1445436
"ALTO HOSPICIO, Avenida LOS CONDORES X EL SALITRE, 2390",-20.2719484,-70.1029629
"IQUIQUE, SAN MARTIN, E. RAMIREZ",-20.2307033,-70.1356692
"IQUIQUE, Avenida Cerro Dragón CASTRO RAMOS",-20.2443662,-70.129305
"IQUIQUE, PADRE HURTADO, Cerro Dragón",-20.2603655,-70.1270142
"IQUIQUE, 18 DE SEPTIEMBRE, ORELLA",-20.2208235,-70.1432206
"IQUIQUE, INTERIOR SERVICENTRO COPEC, Avenida Arturo Prat NRO. 1732",-20.2411778,-70.1440429
