X,Y,FID,Ano,Idaccident,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Fecha,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,hora1
-70.1266749,-20.2750176,1236,2019,1250818,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/12/20 00:00:00+00,1101,52,CHOQUE LATERAL,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,08:20:00
-70.1266749,-20.2750176,1237,2019,1158335,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/01/01 00:00:00+00,1101,67,CHOQUE POSTERIOR/FRENTE,40,CHOQUE,1,11,CRUCE CON SEMAFORO FUNCIONANDO,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,06:00:00
-70.1266749,-20.2750176,1238,2019,1208982,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/06/26 00:00:00+00,1101,31,COLISION FRONTAL,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,91,VIRAJES INDEBIDOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,22:30:00
-70.1266749,-20.2750176,1239,2019,1210372,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/07/02 00:00:00+00,1101,32,COLISION LATERAL,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,11,ADELANTAMIENTO SIN EL ESPACIO Y TIEMPO SUFICIENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,08:15:00
-70.1266749,-20.2750176,1240,2019,1224071,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/09/08 00:00:00+00,1101,53,CHOQUE POSTERIOR,40,CHOQUE,1,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,05:30:00
-70.1266749,-20.2750176,1241,2019,1239097,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,PROYECTADA,NULL,-20.2750176,-70.1266749,1,2019/11/05 00:00:00+00,1101,33,COLISION POR ALCANCE,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,15:20:00
-70.128517,-20.272299,1242,2019,1239751,1,REGION TARAPACA,IQUIQUE,URBANA,QUEBRADA BLANCA,LA TIRANA,NULL,-20.272299,-70.128517,1,2019/11/07 00:00:00+00,1101,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,19:00:00
-70.126747,-20.25206,1243,2019,1176514,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,RAMON PEREZ OPAZO,NULL,-20.25206,-70.126747,1,2019/03/11 00:00:00+00,1101,67,CHOQUE POSTERIOR/FRENTE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,06:45:00
-70.126747,-20.25206,1244,2019,1197942,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,RAMON PEREZ OPAZO,NULL,-20.25206,-70.126747,1,2019/05/12 00:00:00+00,1101,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,14:00:00
-70.126747,-20.25206,1245,2019,1214059,1,REGION TARAPACA,IQUIQUE,URBANA,LA TIRANA,RAMON PEREZ OPAZO,NULL,-20.25206,-70.126747,1,2019/07/24 00:00:00+00,1101,65,CHOQUE LADO/LADO,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,11,ADELANTAMIENTO SIN EL ESPACIO Y TIEMPO SUFICIENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,09:00:00
