X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-7806411.58396117,-2303155.15244817,1300,-70.126188,-20.254085,1473570,2022,1,2022/09/11 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,LA TIRANA,0,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,LA TIRANA - PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,08:00:00
-7808176.78825862,-2300399.77680328,1301,-70.142045,-20.230861,1473606,2022,1,2022/09/07 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,62,CHOQUE FRENTE/LADO,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,HEROES DE LA CONCEPCION,0,0,- HEROES DE LA CONCEPCION,2311,0,0,0,1,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,10:00:00
-7807243.6860229,-2303371.38129894,1302,-70.133663,-20.255907,1473625,2022,1,2022/09/07 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,URBANA,24,ROTONDA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,RAMON PEREZ OPAZO,0,FRANCISCO BILBAO,FRANCISCO BILBAO - RAMON PEREZ OPAZO,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,13:10:00
-7804802.89486776,-2308590.63204378,1303,-70.111737,-20.299886,1473887,2022,1,2022/09/07 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,97,CAUSAS NO DETERMINADAS,13,CAUSAS NO DETERMINADAS,0,LAS AMERICAS,0,UNION EUROPEA,LAS AMERICAS - UNION EUROPEA,0,0,0,0,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,3,2,08:00:00
-7807450.08349078,-2302096.9574773,1304,-70.135517,-20.245166,1473892,2022,1,2022/09/07 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,72,VELOCIDAD NO RAZONABLE NI PRUDENTE,7,VELOCIDAD IMPRUDENTE,0,FRANCISCO VERGARA,0,CASTRO RAMOS,CASTRO RAMOS - FRANCISCO VERGARA,0,0,0,0,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,19:15:00
-7806235.46539478,-2304389.30354661,1305,-70.124606,-20.264485,1473944,2022,1,2022/09/09 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,LA TIRANA,0,MANUEL BALMACEDA,LA TIRANA - MANUEL BALMACEDA,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,07:30:00
-7807214.88767063,-2302060.98295374,1306,-70.133405,-20.244863,1473978,2022,1,2022/09/09 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,SALVADOR ALLENDE,0,CASTRO RAMOS,CASTRO RAMOS - SALVADOR ALLENDE,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,14:10:00
-7803843.42104467,-2304169.06380446,1307,-70.103118,-20.262629,1474033,2022,1,2022/09/07 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,30,COLISION,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,LOS GUINDALES,0,LOS NOGALES,LOS GUINDALES - LOS NOGALES,0,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,2,1,15:30:00
-7803447.35742838,-2304366.18774306,1308,-70.09956,-20.264291,1474170,2022,1,2022/09/08 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,LOS ALAMOS,0,LOS LIMONEROS,LOS ALAMOS - LOS LIMONEROS,0,0,0,0,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1,07:50:00
-7803117.03910334,-2306096.42889439,1309,-70.096593,-20.278871,1474176,2022,1,2022/09/08 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,72,VELOCIDAD NO RAZONABLE NI PRUDENTE,7,VELOCIDAD IMPRUDENTE,0,SANTA ROSA DE ALTO MOLLE,0,SANTA JIMENA,SANTA JIMENA - SANTA ROSA DE ALTO MOLLE,0,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,16:25:00
