X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,IdAccident,Fecha,TipoAccdte,Tipo_Accdt,Tipo__CONA,Zona,Causa,Causa__CON,Calzada,TipoCalzad,EstadoCalz,CondicionC,Estado_Adm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora
-70.1300008,-20.2258286,1341,1,REGION TARAPACA,1101,IQUIQUE,VALLE VERDE, ,1744,"Valle Verde 1744, Iquique, Tarapacá, Chile",-20.2258286,-70.1300008,1,RANGE_INTERPOLATED,2018,1145403,2018/11/14 00:00:00+00,67,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,22:00:00
-70.1293672,-20.2409995,1342,1,REGION TARAPACA,1101,IQUIQUE,CERRO DRAGON, ,2959,"Cerro Dragón 2959, Iquique, Tarapacá, Chile",-20.2409995,-70.1293672,1,RANGE_INTERPOLATED,2018,1145418,2018/11/14 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,13:00:00
-70.1021922,-20.2775307,1343,1,REGION TARAPACA,1107,ALTO HOSPICIO,ALTO MOLLE,CALLE CUATRO,0,"Alto Molle & Calle Cuatro, Alto Hospicio, Tarapacá, Chile",-20.2775307,-70.1021922,1,GEOMETRIC_CENTER,2018,1145447,2018/11/09 00:00:00+00,20,CAIDA,CAIDA,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,1,0,07:40:00
-70.101853,-20.2705741,1344,1,REGION TARAPACA,1107,ALTO HOSPICIO,LOS KIWIS,LA PAMPA,0,"Avenida la Pampa & Los Kiwis, Alto Hospicio, Tarapacá, Chile",-20.2705741,-70.101853,1,GEOMETRIC_CENTER,2018,1145500,2018/11/11 00:00:00+00,10,ATROPELLO,ATROPELLO,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,1,2,20:25:00
-70.1009194,-20.2842616,1345,1,REGION TARAPACA,1107,ALTO HOSPICIO,SANTA MARIA,ADELA ZAMUDIO,0,"Santa María & Adela Zamudio, Alto Hospicio, Tarapacá, Chile",-20.2842616,-70.1009194,1,GEOMETRIC_CENTER,2018,1145505,2018/11/12 00:00:00+00,30,COLISION,COLISION,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,0,1,18:25:00
-70.1356692,-20.2307033,1346,1,REGION TARAPACA,1101,IQUIQUE,BARRIO DE EMERGENCIA, ,235,"Iquique, Tarapacá, Chile",-20.2307033,-70.1356692,1,APPROXIMATE,2018,1145658,2018/11/15 00:00:00+00,64,CHOQUE LADO/FRENTE,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,NUBLADO,0,0,0,0,1,11:00:00
-70.1381101,-20.2484469,1347,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT CHACON,FRANCISCO BILBAO,0,"Av. Arturo Prat Chacón 3120, Iquique, Tarapacá, Chile",-20.2484469,-70.1381101,1,ROOFTOP,2018,1145870,2018/11/15 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,13:00:00
-70.1513845,-20.2130592,1348,1,REGION TARAPACA,1101,IQUIQUE,PATRICIO LYNCH,SERRANO,0,"Serrano & Patricio Lynch, Iquique, Tarapacá, Chile",-20.2130592,-70.1513845,1,GEOMETRIC_CENTER,2018,1145891,2018/11/16 00:00:00+00,64,CHOQUE LADO/FRENTE,CHOQUE,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,12:15:00
-70.1275957,-20.2498961,1349,1,REGION TARAPACA,1101,IQUIQUE,AVDA. LA TIRANA,NICOLAS PALACIOS,0,"Nicolás Palacios & Avenida la Tirana, Iquique, Tarapacá, Chile",-20.2498961,-70.1275957,1,GEOMETRIC_CENTER,2018,1145904,2018/11/16 00:00:00+00,67,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,0,20:00:00
-70.1369893,-20.2407675,1350,1,REGION TARAPACA,1101,IQUIQUE,AVDA. TADEO HAENKE,AVDA. ARTURO PRAT,0,"Av. Tadeo Haenke 2221, Iquique, Tarapacá, Chile",-20.2407675,-70.1369893,1,ROOFTOP,2018,1145912,2018/11/16 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",DESOBEDIENCIA A SEÑALIZACION,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,21:00:00
