Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Direccion,Latitud,Longitud
03/04/2017,07:30,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,CESPEDES Y GONZALEZ,HEROES DE LA CONCEPCION,,,,"IQUIQUE, CESPEDES Y GONZALEZ, HEROES DE LA CONCEPCION",-20.2247382,-70.139754
03/04/2017,11:30,IQUIQUE,Colisión,Adelantamiento sin el espacio y tiempo suficiente,0,0,0,0,1,URBANO,BOLIVAR,URIBE,,,,"IQUIQUE, BOLIVAR, URIBE",-20.212132,-70.1522652
03/04/2017,19:00,IQUIQUE,Atropello,"Señalización, desobedecer señal ceda el paso",0,0,0,1,0,URBANO,VICENTE ZEGERS,OBISPO LABBE,,,,"IQUIQUE, VICENTE ZEGERS, OBISPO LABBE",-20.2174291,-70.1503467
03/04/2017,19:10,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,1,1,URBANO,MANUEL PLAZA,SANTIAGO POLANCO,,,,"IQUIQUE, MANUEL PLAZA, SANTIAGO POLANCO",-20.2480413,-70.1372275
03/04/2017,19:40,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,1,URBANO,PASAJE LINARES,,2732,,,"IQUIQUE, PASAJE LINARES, 2732",-20.2368947,-70.1326146
04/04/2017,08:45,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,RAMON PEREZ OPAZO,SANTA ROSA,,,,"ALTO HOSPICIO, RAMON PEREZ OPAZO, SANTA ROSA",-20.2701972,-70.1009113
04/04/2017,10:10,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,1,URBANO,HERNAN FUENZALIDA,,2218,,,"IQUIQUE, HERNAN FUENZALIDA, 2218",-20.2288841,-70.1337784
04/04/2017,19:58,IQUIQUE,Colisión,Causas no determinadas,0,0,0,0,1,URBANO,ARTURO PRAT CHACON,VIVAR,,,,"IQUIQUE, ARTURO PRAT CHACON, VIVAR",-20.2252901,-70.1495495
04/04/2017,20:35,ALTO HOSPICIO,Atropello,Peatón permanece sobre la calzada,0,0,1,0,1,URBANO,EL MIRADOR,PAMPA UNION,,,,"ALTO HOSPICIO, EL MIRADOR, PAMPA UNION",-20.2759063,-70.1041594
05/04/2017,09:55,ALTO HOSPICIO,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,CALETERA A-16,LOS CONDORES,,,,"ALTO HOSPICIO, CALETERA A-16, LOS CONDORES",-20.2671328,-70.0874421
05/04/2017,10:30,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,TADEO HAENKE,HEROES DE LA CONCEPCION,,,,"IQUIQUE, TADEO HAENKE, HEROES DE LA CONCEPCION",-20.2379949,-70.1442259
05/04/2017,11:00,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,ARTURO FERNANDEZ,CESPEDES Y GONZALEZ,,,,"IQUIQUE, ARTURO FERNANDEZ, CESPEDES Y GONZALEZ",-20.2245126,-70.1445436
05/04/2017,13:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,1,URBANO,SAN MARTIN,ELEUTERIO RAMIREZ,,,,"IQUIQUE, SAN MARTIN, ELEUTERIO RAMIREZ",-20.2126575,-70.14924
05/04/2017,18:55,ALTO HOSPICIO,Colisión,"Conducción, cambiar sorpresivamente pista circulación",0,0,0,0,2,URBANO,GABRIELA MISTRAL,DETECTIVE CUBILLOS,,,,"ALTO HOSPICIO, GABRIELA MISTRAL, DETECTIVE CUBILLOS",-20.28807,-70.103214
